assembly	taxid	organism	file	bytes	atps_ids	n_reactions	has_atps	genus
GCF_000335475.2	1242864	Cystobacter fuscus DSM 2262	Cystobacter_fuscus_DSM_2262.xml.gz	213000		2038	False	Cystobacter
GCF_900109255.1	1416801	Cyclobacterium halophilum	Cyclobacterium_halophilum_IBRC_M_10761.xml.gz	162007		1474	False	Cyclobacterium
GCF_001042715.1	84022	Clostridium aceticum	Clostridium_aceticum_DSM_1496.xml.gz	156459		1399	False	Clostridium
GCF_001262715.1	216946	Spiroplasma turonicum	Spiroplasma_turonicum_Tab4c.xml.gz	73248		616	False	Spiroplasma
GCF_000092905.1	562970	Kyrpidia tusciae DSM 2912	Kyrpidia_tusciae_DSM_2912.xml.gz	163253		1514	False	Kyrpidia
GCF_000719975.1	43354	Prauserella rugosa	Prauserella_rugosa_NRRL_B_2295.xml.gz	178731		1622	False	Prauserella
GCF_000425145.1	540906	Pedobacter glucosidilyticus DSM 23534	Pedobacter_glucosidilyticus_DSM_23534.xml.gz	161323		1466	False	Pedobacter
GCF_000741785.1	762211	Bifidobacterium stellenboschense	Bifidobacterium_stellenboschense_DSM_23968.xml.gz	129564		1199	False	Bifidobacterium
GCF_900100515.1	310769	Fervidobacterium changbaicum	Fervidobacterium_changbaicum_DSM_17883.xml.gz	113062		992	False	Fervidobacterium
GCF_000236405.1	1075399	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	Blattabacterium_sp_Cryptocercus_punctulatus_str_Cpu.xml.gz	85946	R_ATPS4rpp;	736	True	Blattabacterium
GCF_000183545.2	867903	Thermaerobacter subterraneus DSM 13965	Thermaerobacter_subterraneus_DSM_13965.xml.gz	151034		1404	False	Thermaerobacter
GCF_000227355.1	1048830	Mycoplasma iowae 695	Mycoplasma_iowae_695.xml.gz	78256		696	False	Mycoplasma
GCF_000741165.1	1437608	Bifidobacterium biavatii DSM 23969	Bifidobacterium_biavatii_DSM_23969.xml.gz	121042		1104	False	Bifidobacterium
GCF_900105045.1	629680	Brevibacterium sandarakinum	Brevibacterium_sandarakinum_DSM_22082.xml.gz	167107		1496	False	Brevibacterium
GCF_000378745.1	1122979	Prevotella amnii DSM 23384 = JCM 14753	Prevotella_amnii_DSM_23384_JCM_14753.xml.gz	122350		1166	False	Prevotella
GCF_900095865.1	1870991	Massilioclostridium coli	Massilioclostridium_coli_Marseille_P2976.xml.gz	115296		1023	False	Massilioclostridium
GCF_000258495.1	1149865	Pedobacter agri PB92	Pedobacter_agri_PB92.xml.gz	159188		1477	False	Pedobacter
GCF_900100085.1	555512	Citreicella marina	Citreicella_marina_DSM_26424.xml.gz	196800		1781	False	Citreicella
GCF_900172355.1	254357	Roseisalinus antarcticus	Roseisalinus_antarcticus_CECT_7023.xml.gz	179374		1637	False	Roseisalinus
GCF_900102915.1	390640	Salinimicrobium catena	Salinimicrobium_catena_CGMCC_1_6101.xml.gz	156529		1434	False	Salinimicrobium
GCF_002222615.2	47678	Bacteroides caccae	Bacteroides_caccae_ATCC_43185.xml.gz	150572		1407	False	Bacteroides
GCF_000252855.1	693978	Riemerella anatipestifer ATCC 11845 = DSM 15868	Riemerella_anatipestifer_ATCC_11845_DSM_15868.xml.gz	126777		1133	False	Riemerella
GCF_001530125.1	36861	Thiobacillus denitrificans	Thiobacillus_denitrificans_RG.xml.gz	151621	R_ATPS4rpp;	1443	True	Thiobacillus
GCF_000297775.1	742823	Sutterella wadsworthensis 2_1_59BFAA	Sutterella_wadsworthensis_2_1_59BFAA.xml.gz	144693		1414	False	Sutterella
GCF_000620485.1	1380365	Dyella japonica UNC79MFTsu3.2	Dyella_japonica_UNC79MFTsu3_2.xml.gz	177793	R_ATPS4rpp;	1710	True	Dyella
GCF_000333015.1	1121927	Gordonia hirsuta DSM 44140 = NBRC 16056	Gordonia_hirsuta_DSM_44140_NBRC_16056.xml.gz	139114		1157	False	Gordonia
GCF_001579945.1	465721	Steroidobacter denitrificans	Steroidobacter_denitrificans_DSM_18526.xml.gz	156342		1407	False	Steroidobacter
GCF_000010425.1	367928	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium_adolescentis_ATCC_15703.xml.gz	114019		1024	False	Bifidobacterium
GCF_001679005.1	478	Moraxella nonliquefaciens	Moraxella_nonliquefaciens_CCUG_348.xml.gz	136101	R_ATPS4rpp;	1239	True	Moraxella
GCF_000711225.1	1122946	Pelobacter seleniigenes DSM 18267	Pelobacter_seleniigenes_DSM_18267.xml.gz	179570		1649	False	Pelobacter
GCF_000877395.1	935700	Jannaschia aquimarina	Jannaschia_aquimarina_GSW_M26.xml.gz	175705		1612	False	Jannaschia
GCF_000975135.1	676200	Demequina aurantiaca	Demequina_aurantiaca_NBRC_106265.xml.gz	138384		1216	False	Demequina
GCF_900155625.1	1917889	Virgibacillus dakarensis	Virgibacillus_dakarensis_Marseille_P3469.xml.gz	163830		1560	False	Virgibacillus
GCF_001292705.1	1513270	Marinagarivorans algicola	Marinagarivorans_algicola_Z1.xml.gz	156238	R_ATPS4rpp;	1411	True	Marinagarivorans
GCF_001590785.1	519424	Bacillus trypoxylicola	Bacillus_trypoxylicola_KCTC_13244.xml.gz	142323		1270	False	Bacillus
GCF_900169565.1	1325564	Nitrospira japonica	Nitrospira_japonica.xml.gz	152554		1426	False	Nitrospira
GCF_000425065.1	1120937	Actinomadura rifamycini DSM 43936	Actinomadura_rifamycini_DSM_43936.xml.gz	196995		1809	False	Actinomadura
GCF_000454045.1	1136179	Rhodococcus erythropolis CCM2595	Rhodococcus_erythropolis_CCM2595.xml.gz	181742		1630	False	Rhodococcus
GCF_900109875.1	365346	Paenisporosarcina quisquiliarum	Paenisporosarcina_quisquiliarum_SK_55.xml.gz	165340		1564	False	Paenisporosarcina
GCF_000590475.1	316	Pseudomonas stutzeri	Pseudomonas_stutzeri_28a24.xml.gz	199540	R_ATPS4rpp;	1913	True	Pseudomonas
GCF_001592345.1	1219038	Sphingomonas adhaesiva NBRC 15099	Sphingomonas_adhaesiva_NBRC_15099.xml.gz	167957		1545	False	Sphingomonas
GCF_000182745.2	634177	Komagataeibacter medellinensis NBRC 3288	Komagataeibacter_medellinensis_NBRC_3288.xml.gz	167847		1606	False	Komagataeibacter
GCF_900176045.1	1069081	Nitratiruptor tergarcus DSM 16512	Nitratiruptor_tergarcus_DSM_16512.xml.gz	117250		961	False	Nitratiruptor
GCF_001483765.1	317018	Nesterenkonia jeotgali	Nesterenkonia_jeotgali_CD08_7.xml.gz	144241		1283	False	Nesterenkonia
GCF_000157355.2	565655	Enterococcus casseliflavus EC20	Enterococcus_casseliflavus_EC20.xml.gz	150060		1410	False	Enterococcus
GCF_000227765.1	1030841	Neisseria wadsworthii 9715	Neisseria_wadsworthii_9715.xml.gz	155811		1431	False	Neisseria
GCF_001722515.1	665550	Dietzia alimentaria	Dietzia_alimentaria_BP_27_1.xml.gz	132753		1122	False	Dietzia
GCF_002153375.1	937927	Oceanobacillus rekensis	Oceanobacillus_rekensis_PT_11.xml.gz	171961		1630	False	Oceanobacillus
GCF_000525975.1	1265846	Listeria rocourtiae FSL F6-920	Listeria_rocourtiae_FSL_F6_920.xml.gz	130166		1176	False	Listeria
GCF_900115005.1	260086	Pseudonocardia ammonioxydans	Pseudonocardia_ammonioxydans_CGMCC_4_1877.xml.gz	197979		1790	False	Pseudonocardia
GCF_000286075.1	699248	Streptococcus ratti FA-1 = DSM 20564	Streptococcus_ratti_FA_1_DSM_20564.xml.gz	128312		1167	False	Streptococcus
GCF_000327395.1	1179777	Mycoplasma feriruminatoris	Mycoplasma_feriruminatoris_G5847.xml.gz	71338		620	False	Mycoplasma
GCF_900114325.1	582702	Rhodanobacter glycinis	Rhodanobacter_glycinis_MO64.xml.gz	170623	R_ATPS4rpp;	1628	True	Rhodanobacter
GCF_900113015.1	35752	Actinoplanes philippinensis	Actinoplanes_philippinensis_DSM_43019.xml.gz	201664		1897	False	Actinoplanes
GCF_001989575.1	1849491	Auricoccus indicus	Auricoccus_indicus_S31.xml.gz	105878		918	False	Auricoccus
GCF_900102505.1	336292	Paracoccus tibetensis	Paracoccus_tibetensis_CGMCC_1_8925.xml.gz	180518		1662	False	Paracoccus
GCF_000025885.1	572547	Aminobacterium colombiense DSM 12261	Aminobacterium_colombiense_DSM_12261.xml.gz	136140		1226	False	Aminobacterium
GCF_000147835.2	690566	Sphingobium chlorophenolicum L-1	Sphingobium_chlorophenolicum_L_1.xml.gz	179089		1695	False	Sphingobium
GCF_000159995.1	626522	Alloprevotella tannerae ATCC 51259	Alloprevotella_tannerae_ATCC_51259.xml.gz	121484	R_ATPS4rpp;	1159	True	Alloprevotella
GCF_000018605.1	403833	Petrotoga mobilis SJ95	Petrotoga_mobilis_SJ95.xml.gz	125988		1086	False	Petrotoga
GCF_000495505.1	1244528	Campylobacter fetus subsp. testudinum 03-427	Campylobacter_fetus_subsp_testudinum_03_427.xml.gz	126499		1110	False	Campylobacter
GCF_000686705.1	1121319	Clostridium hydrogeniformans DSM 21757	Clostridium_hydrogeniformans_DSM_21757.xml.gz	148503		1395	False	Clostridium
GCF_000341145.1	1246474	Nocardiopsis xinjiangensis YIM 90004	Nocardiopsis_xinjiangensis_YIM_90004.xml.gz	169288		1557	False	Nocardiopsis
GCF_900163715.1	946573	Brevibacterium yomogidense	Brevibacterium_yomogidense_B_Co_03_10.xml.gz	151486		1385	False	Brevibacterium
GCF_001418495.1	1650571	Streptomyces pathocidini	Streptomyces_pathocidini_NRRL_B_24287.xml.gz	174954		1624	False	Streptomyces
GCF_900142605.1	1419482	Chitinophaga jiangningensis	Chitinophaga_jiangningensis_DSM_27406.xml.gz	182373		1687	False	Chitinophaga
GCF_000203895.1	318586	Paracoccus denitrificans PD1222	Paracoccus_denitrificans_PD1222.xml.gz	205206		1930	False	Paracoccus
GCF_000219725.1	744872	Treponema caldarium DSM 7334	Treponema_caldarium_DSM_7334.xml.gz	148781		1388	False	Treponema
GCF_000739795.1	1218081	Paraburkholderia kururiensis subsp. thiooxydans NBRC 107107	Paraburkholderia_kururiensis_subsp_thiooxydans_NBRC_107107.xml.gz	217490		2054	False	Paraburkholderia
GCF_000766945.1	1209072	Cellvibrio mixtus subsp. mixtus J3-8	Cellvibrio_mixtus_subsp_mixtus_J3_8.xml.gz	173953		1654	False	Cellvibrio
GCF_000092385.1	749414	Streptomyces bingchenggensis BCW-1	Streptomyces_bingchenggensis_BCW_1.xml.gz	204230		1904	False	Streptomyces
GCF_900114795.1	52442	Nitrosomonas nitrosa	Nitrosomonas_nitrosa_Nm146.xml.gz	142811		1312	False	Nitrosomonas
GCF_900176425.1	1434700	Moheibacter sediminis	Moheibacter_sediminis_CGMCC_1_12708.xml.gz	149131		1370	False	Moheibacter
GCF_000380085.1	1123308	Streptococcus merionis DSM 19192	Streptococcus_merionis_DSM_19192.xml.gz	119464		1098	False	Streptococcus
GCF_900156105.1	159291	Alkalispirochaeta americana	Alkalispirochaeta_americana_ASpG1.xml.gz	146000		1356	False	Alkalispirochaeta
GCF_900107045.1	589385	Amycolatopsis xylanica	Amycolatopsis_xylanica_CPCC_202699.xml.gz	204154		1920	False	Amycolatopsis
GCF_001311375.1	1423742	Lactobacillus equigenerosi DSM 18793 = JCM 14505	Lactobacillus_equigenerosi_DSM_18793_JCM_14505.xml.gz	86574		810	False	Lactobacillus
GCF_000421225.1	1123065	Ruania albidiflava DSM 18029	Ruania_albidiflava_DSM_18029.xml.gz	161019		1501	False	Ruania
GCF_900148495.1	1871035	Negativibacillus massiliensis	Negativibacillus_massiliensis_Marseille_P3213.xml.gz	108538		964	False	Negativibacillus
GCF_000423425.1	604331	Meiothermus rufus DSM 22234	Meiothermus_rufus_DSM_22234.xml.gz	158615	R_ATPS4rpp;	1404	True	Meiothermus
GCF_001941445.1	1431546	Corynebacterium aquilae DSM 44791	Corynebacterium_aquilae_DSM_44791_S_613.xml.gz	133682		1154	False	Corynebacterium
GCF_000420545.1	1121015	Arenimonas oryziterrae DSM 21050 = YC6267	Arenimonas_oryziterrae_DSM_21050_YC6267.xml.gz	153474	R_ATPS4rpp;	1381	True	Arenimonas
GCF_001613045.1	1210083	Nocardia lijiangensis NBRC 108240	Nocardia_lijiangensis_NBRC_108240.xml.gz	174203		1551	False	Nocardia
GCF_000092585.1	710127	Mycoplasma gallisepticum str. R(low)	Mycoplasma_gallisepticum_str_R_low.xml.gz	59456		519	False	Mycoplasma
GCF_001584765.1	1784	Mycobacterium simiae	Mycobacterium_simiae_MO323.xml.gz	166311		1461	False	Mycobacterium
GCF_000420025.1	1122939	Patulibacter americanus DSM 16676	Patulibacter_americanus_DSM_16676.xml.gz	169959		1598	False	Patulibacter
GCF_900142065.1	232089	Agromyces cerinus subsp. cerinus	Agromyces_cerinus_subsp_cerinus_DSM_8595.xml.gz	165843		1496	False	Agromyces
GCF_000284155.1	1105110	Rickettsia australis str. Cutlack	Rickettsia_australis_str_Cutlack.xml.gz	95055		948	False	Rickettsia
GCF_000341165.1	1235441	Nocardiopsis gilva YIM 90087	Nocardiopsis_gilva_YIM_90087.xml.gz	172543		1571	False	Nocardiopsis
GCF_000024105.1	525919	Anaerococcus prevotii DSM 20548	Anaerococcus_prevotii_DSM_20548.xml.gz	114184		1077	False	Anaerococcus
GCF_000382125.1	1121875	Eudoraea adriatica DSM 19308	Eudoraea_adriatica_DSM_19308.xml.gz	167629		1550	False	Eudoraea
GCF_000513215.1	273526	Serratia marcescens subsp. marcescens Db11	Serratia_marcescens_subsp_marcescens_Db11.xml.gz	247202	R_ATPS4rpp;	2579	True	Serratia
GCF_001442615.1	1750590	Algoriphagus resistens	Algoriphagus_resistens_NH1.xml.gz	172211		1587	False	Algoriphagus
GCF_000724775.3	28031	Lysinibacillus fusiformis	Lysinibacillus_fusiformis_RB_21.xml.gz	163711		1528	False	Lysinibacillus
GCF_000429945.1	1121403	Desulfobulbus japonicus DSM 18378	Desulfobulbus_japonicus_DSM_18378.xml.gz	175878		1635	False	Desulfobulbus
GCF_001438695.1	930946	Fructobacillus fructosus KCTC 3544	Fructobacillus_fructosus_KCTC_3544_DSM_20349.xml.gz	86865		773	False	Fructobacillus
GCF_900155735.1	1871029	Intestinibacillus massiliensis	Intestinibacillus_massiliensis_type_strain_Marseille_P3216.xml.gz	124900		1091	False	Intestinibacillus
GCF_000008485.1	272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Legionella_pneumophila_subsp_pneumophila_str_Philadelphia_1.xml.gz	158597	R_ATPS4rpp;	1486	True	Legionella
GCF_000468615.2	1348584	Cellulophaga baltica 18	Cellulophaga_baltica_18.xml.gz	168477		1562	False	Cellulophaga
GCF_900188105.1	134959	Actinomadura mexicana	Actinomadura_mexicana_DSM_44485.xml.gz	198094		1860	False	Actinomadura
GCF_900128485.1	1852381	Duodenibacillus massiliensis	Duodenibacillus_massiliensis_Marseille_P2968.xml.gz	136950		1299	False	Duodenibacillus
GCF_000488255.1	1341679	Acinetobacter indicus CIP 110367	Acinetobacter_indicus_CIP_110367.xml.gz	182114	R_ATPS4rpp;	1800	True	Acinetobacter
GCF_000382325.1	1123503	Woodsholea maritima DSM 17123	Woodsholea_maritima_DSM_17123.xml.gz	154228		1403	False	Woodsholea
GCF_000168715.1	377431	Chlorobium ferrooxidans DSM 13031	Chlorobium_ferrooxidans_DSM_13031.xml.gz	148652		1348	False	Chlorobium
GCF_000260985.4	754476	Methylophaga nitratireducenticrescens	Methylophaga_nitratireducenticrescens_JAM1.xml.gz	146978		1344	False	Methylophaga
GCF_002102395.1	1798	Mycobacterium triviale	Mycobacterium_triviale_DSM_44153.xml.gz	138478		1151	False	Mycobacterium
GCF_000212735.1	760192	Haliscomenobacter hydrossis DSM 1100	Haliscomenobacter_hydrossis_DSM_1100.xml.gz	185920		1766	False	Haliscomenobacter
GCF_900114315.1	1123062	Roseomonas stagni DSM 19981	Roseomonas_stagni_DSM_19981.xml.gz	194591		1755	False	Roseomonas
GCF_001050475.1	1007676	Lactobacillus ginsenosidimutans	Lactobacillus_ginsenosidimutans_EMML_3041.xml.gz	129808		1180	False	Lactobacillus
GCF_000988095.1	206506	Kerstersia gyiorum	Kerstersia_gyiorum_CG1.xml.gz	191151		1838	False	Kerstersia
GCF_000190435.1	158189	Sphaerochaeta globosa str. Buddy	Sphaerochaeta_globosa_str_Buddy.xml.gz	144527		1311	False	Sphaerochaeta
GCF_900112585.1	402385	Kushneria avicenniae	Kushneria_avicenniae_DSM_23439.xml.gz	196216	R_ATPS4rpp;	1944	True	Kushneria
GCF_001642915.1	980254	Roseimaritima ulvae	Roseimaritima_ulvae_DSM_25454.xml.gz	165938		1532	False	Roseimaritima
GCF_001758365.1	1121290	Clostridium acetireducens DSM 10703	Clostridium_acetireducens_DSM_10703.xml.gz	116893		1024	False	Clostridium
GCF_000163895.2	546269	Filifactor alocis ATCC 35896	Filifactor_alocis_ATCC_35896.xml.gz	92844		822	False	Filifactor
